entry_type,title,author,year,journal,booktitle,volume,number,pages,publisher,doi,url,abstract,address,articleno,isbn,issn,issue_date,keywords,location,note,numpages,series
inproceedings,Interactive Policy Shaping for Human-Robot Collaboration with Transparent Matrix Overlays,"Brawer, Jake and Ghose, Debasmita and Candon, Kate and Qin, Meiying and Roncone, Alessandro and V\'{a",2023,,Proceedings of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,,,525?€?533,Association for Computing Machinery,10.1145/3568162.3576983,https://doi.org/10.1145/3568162.3576983,"One important aspect of effective human--robot collaborations is the ability for robots to adapt quickly to the needs of humans. While techniques like deep reinforcement learning have demonstrated success as sophisticated tools for learning robot policies, the fluency of human-robot collaborations is often limited by these policies' inability to integrate changes to a user's preferences for the task. To address these shortcomings, we propose a novel approach that can modify learned policies at execution time via symbolic if-this-then-that rules corresponding to a modular and superimposable set of low-level constraints on the robot's policy. These rules, which we call Transparent Matrix Overlays, function not only as succinct and explainable descriptions of the robot's current strategy but also as an interface by which a human collaborator can easily alter a robot's policy via verbal commands. We demonstrate the efficacy of this approach on a series of proof-of-concept cooking tasks performed in simulation and on a physical robot.","New York, NY, USA",,9.78145E+12,,,"human-robot collaboration, interactive robot learning, reinforcement learning, symbolic reasoning","Stockholm, Sweden",,9,HRI '23
inproceedings,Using Robot Social Agency Theory to Understand Robots' Linguistic Anthropomorphism,"Emnett, Cloe Z. and Mott, Terran and Williams, Tom",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,447?€?452,Association for Computing Machinery,10.1145/3610978.3640747,https://doi.org/10.1145/3610978.3640747,"Robots' use of natural language is one of the key factors that leads humans to anthropomorphize them. But it is not yet well understood what types of language most lead to such language-based anthropomorphization (or, Linguistic Anthropomorphism). In this paper, we present a brief literature survey that suggests six broad categories of linguistic factors that lead humans to anthropomorphize robots: autonomy, adaptability, directness, politeness, proportionality, and humor. By contextualizing these six factors through the lens of Jackson and Williams' Theory of Social Agency for Human-Robot Interaction, we are able to show how and why these particular factors are those responsible for language-based robot anthropomorphism.","New York, NY, USA",,9.7984E+12,,,"linguistic anthropomorphism, social agency","Boulder, CO, USA",,6,HRI '24
inproceedings,Semantic Scene Understanding for Human-Robot Interaction,"Patel, Maithili and Dogan, Fethiye Irmak and Zeng, Zhen and Baraka, Kim and Chernova, Sonia",2023,,Companion of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,,,941?€?943,Association for Computing Machinery,10.1145/3568294.3579960,https://doi.org/10.1145/3568294.3579960,"Service robots will be co-located with human users in an unstructured human-centered environment and will benefit from understanding the user's daily activities, preferences, and needs towards fully assisting them. This workshop aims to explore how abstract semantic knowledge of the user's environment can be used as a context in understanding and grounding information regarding the user's instructions, preferences, habits, and needs. While object semantics have primarily been investigated for robotics in the perception and manipulation domain, recent works have shown the benefits of semantic modeling in a Human-Robot Interaction (HRI) context toward understanding and assisting human users. This workshop focuses on semantic information that can be useful in generalizing and interpreting user instructions, modeling user activities, anticipating user needs, and making the internal reasoning processes of a robot more interpretable to a user. Therefore, the workshop builds on topics from prior workshops such as Learning in HRI, behavior adaptation for assistance, and learning from humans and aims at facilitating cross-pollination across these domains through a common thread of utilizing abstract semantics of the physical world towards robot autonomy in assistive applications. We envision the workshop to touch on research areas such as unobtrusive learning from observations, preference learning, continual learning, enhancing the transparency of autonomous robot behavior, and user adaptation. The workshop aims to gather researchers working on these areas and provide fruitful discussions towards autonomous assistive robots that can learn and ground scene semantics for enhancing HRI.","New York, NY, USA",,9.78145E+12,,,"human-centered autonomy, robot learning, scene semantics","Stockholm, Sweden",,3,HRI '23
inproceedings,GestLLM: Advanced Hand Gesture Interpretation via Large Language Models for Human-Robot Interaction,"Kobzarev, Oleg and Lykov, Artem and Tsetserukou, Dzmitry",2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,1413?€?1417,IEEE Press,,,"This paper introduces GestLLM, an advanced system for human-robot interaction that enables intuitive robot control through hand gestures. Unlike conventional systems, which rely on a limited set of predefined gestures, GestLLM leverages large language models and feature extraction via MediaPipe [1] to interpret a diverse range of gestures. This integration addresses key limitations in existing systems, such as restricted gesture flexibility and the inability to recognize complex or unconventional gestures commonly used in human communication.By combining state-of-the-art feature extraction and language model capabilities, GestLLM achieves performance comparable to leading vision-language models while supporting gestures underrepresented in traditional datasets. For example, this includes gestures from popular culture, such as the ''Vulcan salute'' from Star Trek, without any additional pretraining, prompt engineering, etc. This flexibility enhances the naturalness and inclusivity of robot control, making interactions more intuitive and user-friendly.GestLLM provides a significant step forward in gesture-based interaction, enabling robots to understand and respond to a wide variety of hand gestures effectively. This paper outlines its design, implementation, and evaluation, demonstrating its potential applications in advanced human-robot collaboration, assistive robotics, and interactive entertainment.",,,,,,"gesture recognition, llm, robot control","Melbourne, Australia",,5,HRI '25
inproceedings,Explainable Human-Robot Training and Cooperation with Augmented Reality,"Wang, Chao and Belardinelli, Anna and Hasler, Stephan and Stouraitis, Theodoros and Tanneberg, Daniel and Gienger, Michael",2023,,Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems,,,,Association for Computing Machinery,10.1145/3544549.3583889,https://doi.org/10.1145/3544549.3583889,"The current spread of social and assistive robotics applications is increasingly highlighting the need for robots that can be easily taught and interacted with, even by users with no technical background. Still, it is often difficult to grasp what such robots know or to assess if a correct representation of the task is being formed. Augmented Reality (AR) has the potential to bridge this gap. We demonstrate three use cases where AR design elements enhance the explainability and efficiency of human-robot interaction: 1) a human teaching a robot some simple kitchen tasks by demonstration, 2) the robot showing its plan for solving novel tasks in AR to a human for validation, and 3) a robot communicating its intentions via AR while assisting people with limited mobility during daily activities.","New York, NY, USA",449,9.78145E+12,,,"augmented reality, explainability, human-robot interaction","Hamburg, Germany",,5,CHI EA '23
inproceedings,Explainability for Human-Robot Collaboration,"Yadollahi, Elmira and Romeo, Marta and Dogan, Fethiye Irmak and Johal, Wafa and De Graaf, Maartje and Levy-Tzedek, Shelly and Leite, Iolanda",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,1364?€?1366,Association for Computing Machinery,10.1145/3610978.3638154,https://doi.org/10.1145/3610978.3638154,"In human-robot collaboration, explainability bridges the communication gap between complex machine functionalities and humans. An active area of investigation in robotics and AI is understanding and generating explanations that can enhance collaboration and mutual understanding between humans and machines. A key to achieving such seamless collaborations is understanding end-users, whether naive or expert, and tailoring explanation features that are intuitive, user-centred, and contextually relevant. Advancing on the topic not only includes modelling humans' expectations for generating the explanations but also requires the development of metrics to evaluate generated explanations and assess how effectively autonomous systems communicate their intentions, actions, and decision-making rationale. This workshop is designed to tackle the nuanced role of explainability in enhancing the efficiency, safety, and trust in human-robot collaboration. It aims to initiate discussions on the importance of generating and evaluating explainability features developed in autonomous agents. Simultaneously, it addresses various challenges, including bias in explainability and downsides of explainability and deception in human-robot interaction.","New York, NY, USA",,9.7984E+12,,,"XAI, explainable robotics, human-centered robot explanations","Boulder, CO, USA",,3,HRI '24
inproceedings,Effects of Incoherence in Multimodal Explanations of Robot Failures,"Pramanick, Pradip and Raggioli, Luca and Rossi, Alessandra and Rossi, Silvia",2024,,Companion Proceedings of the 26th International Conference on Multimodal Interaction,,,6?€?10,Association for Computing Machinery,10.1145/3686215.3690155,https://doi.org/10.1145/3686215.3690155,"Providing explanations of a robot?€?s behavior is a key enabler of trust in robots. Such explanations should be intuitive to people who are not experts in robotics. Prior research suggests that using multiple modalities to deliver explanations improves clarity. However, current methods for generating multimodal explanations neither assess nor ensure the coherence of the information across modalities. Here, we present an experiment to understand the effect of possible incoherence in multimodal explanations. We perform a user study asking participants to observe a series of robot failures and predict the reason for failure when provided with a controlled variation of multimodal explanations. Specifically, we present a methodology to compare incoherent and coherent explanations, aiming to understand their impact on perceiving robot failures.","New York, NY, USA",,9.7984E+12,,,"Explainable Artificial Intelligence, Human-Robot Interaction, Multimodal Explanation, Multimodal Interaction, User Studies","San Jose, Costa Rica",,5,ICMI Companion '24
inproceedings,Understanding Large-Language Model (LLM)-powered Human-Robot Interaction,"Kim, Callie Y. and Lee, Christine P. and Mutlu, Bilge",2024,,Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,371?€?380,Association for Computing Machinery,10.1145/3610977.3634966,https://doi.org/10.1145/3610977.3634966,"Large-language models (LLMs) hold significant promise in improving human-robot interaction, offering advanced conversational skills and versatility in managing diverse, open-ended user requests in various tasks and domains. Despite the potential to transform human-robot interaction, very little is known about the distinctive design requirements for utilizing LLMs in robots, which may differ from text and voice interaction and vary by task and context. To better understand these requirements, we conducted a user study (n = 32) comparing an LLM-powered social robot against text- and voice-based agents, analyzing task-based requirements in conversational tasks, including choose, generate, execute, and negotiate. Our findings show that LLM-powered robots elevate expectations for sophisticated non-verbal cues and excel in connection-building and deliberation, but fall short in logical communication and may induce anxiety. We provide design implications both for robots integrating LLMs and for fine-tuning LLMs for use with robots.","New York, NY, USA",,9.7984E+12,,,"human-robot interaction, large language models, social robots","Boulder, CO, USA",,10,HRI '24
inproceedings,An Exploratory Study on People's Intuitive Understanding of Expressive Robot Behavior,"Van Otterdijk, Marieke and Lindblom, Diana Saplacan and Laeng, Bruno and Torresen, Jim",2024,,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,,1072?€?1076,Association for Computing Machinery,10.1145/3610978.3640568,https://doi.org/10.1145/3610978.3640568,"Robots are anticipated to communicate with humans in our social context. Using nonverbal communication by robots increases communication comprehension because humans intuitively understand such behavior due to their experience of human-human interaction. Thus, this behavior is suitable for studying what makes robot motion intuitive to understand in human-robot interaction (HRI). We study how robot features help humans intuitively grasp expressive robot gestures, concentrating on what makes behavior easy to interpret. After watching eighteen nine-second videos of three robot kinds demonstrating expressive robot actions, 50 participants completed an open-ended survey. Our findings highlight the inputs, mediating factors, and outputs that users reported based on observing examples of expressive robot behavior. These insights are a starting point for analyzing robot behavior from the perspective of intuition and provide a foundation for a theoretical framework for intuition in HRI.","New York, NY, USA",,9.7984E+12,,,"expressive movement, human-robot interaction, intuition, social robotics","Boulder, CO, USA",,5,HRI '24
article,The Journey or the Destination: The Impact of Transparency and Goal Attainment on Trust in Human-Robot Teams,"Kox, Esther S. and van den Boogaard, Juul and Turjaka, Vesa and Kerstholt, Jos\'{e",2024,J. Hum.-Robot Interact.,,14,2,,Association for Computing Machinery,10.1145/3702245,https://doi.org/10.1145/3702245,"As robots gain autonomy, human-robot task delegation can become more goal-oriented; specifying what to do rather than how. This can lead to unexpected robot behaviour. We investigated the effect of transparency and outcome on the perceived trustworthiness of a robot that deviates from the expected manner to reach a delegated goal. Participants (N (=) 82) engaged in a virtual military mission as a Human-Robot Team using a 2 (times) 2 between-subjects design (low vs. high transparency, positive vs. negative outcome). Participants received training on the expected manner to reach the mission?€?s goal. In the actual mission, the robot deviated from the planned path. We manipulated whether the robot explained its deviation and whether the outcome was better or worse than the original plan. Results showed that transparency contributed to higher and more stable levels of trust, without increasing subjective workload. While the robot?€?s deviation led to a violation of trust in the low transparency condition, trust remained stable in the high transparency condition, indicating a buffering effect of transparency on trust in case of unexpected behaviour. The impact of outcome on trust was consistent across transparency conditions. Our findings underscore the role of transparency as a tool for fostering human-robot trust.","New York, NY, USA",23,,,Jun-25,"Human-Autonomy Teaming, Trust, Delegation, Transparency, Outcome",,,23,
inproceedings,Towards Robotic Companions: Understanding Handler-Guide Dog Interactions for Informed Guide Dog Robot Design,"Hwang, Hochul and Jung, Hee-Tae and Giudice, Nicholas A and Biswas, Joydeep and Lee, Sunghoon Ivan and Kim, Donghyun",2024,,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,,,Association for Computing Machinery,10.1145/3613904.3642181,https://doi.org/10.1145/3613904.3642181,"Dog guides are favored by blind and low-vision (BLV) individuals for their ability to enhance independence and confidence by reducing safety concerns and increasing navigation efficiency compared to traditional mobility aids. However, only a relatively small proportion of BLV individuals work with dog guides due to their limited availability and associated maintenance responsibilities. There is considerable recent interest in addressing this challenge by developing legged guide dog robots. This study was designed to determine critical aspects of the handler-guide dog interaction and better understand handler needs to inform guide dog robot development. We conducted semi-structured interviews and observation sessions with 23 dog guide handlers and 5 trainers. Thematic analysis revealed critical limitations in guide dog work, desired personalization in handler-guide dog interaction, and important perspectives on future guide dog robots. Grounded on these findings, we discuss pivotal design insights for guide dog robots aimed for adoption within the BLV community.","New York, NY, USA",596,9.7984E+12,,,"Accessibility, Individuals with Disabilities &amp; Assistive Technologies, Interview, Robot","Honolulu, HI, USA",,20,CHI '24
